summary,id,field,bt,bg,term,cardinality,format,missingFrom,belongsAt,presentIn,reason,evidence,applicability,severity,source
fatturapa · seller.it.rea.soleShareholder missing from json,fatturapa|seller.it.rea.soleShareholder|json,seller.it.rea.soleShareholder,,,,,fatturapa,json,seller.it.rea.soleShareholder,model Sole shareholder indicator; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /fiscalization/registration/shareholder_status (IT) — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
fatturapa · seller.it.regimeFiscale missing from json,fatturapa|seller.it.regimeFiscale|json,seller.it.regimeFiscale,,,,,fatturapa,json,seller.it.regimeFiscale,model Tax regime (RegimeFiscale); json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /fiscalization/registration/tax_regime (IT) — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
fatturapa · seller.name missing from json,fatturapa|seller.name|json,seller.name,BT-27,BG-4,Seller name,1..1,fatturapa,json,BT-27,model BT-27; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /name/legal — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
fatturapa · seller.person.forename missing from json,fatturapa|seller.person.forename|json,seller.person.forename,,,,,fatturapa,json,seller.person.forename,model Forename; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer::INDIVIDUAL /name/person/forename — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
fatturapa · seller.person.surname missing from json,fatturapa|seller.person.surname|json,seller.person.surname,,,,,fatturapa,json,seller.person.surname,model Surname; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer::INDIVIDUAL /name/person/surname — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
fatturapa · seller.taxId missing from json,fatturapa|seller.taxId|json,seller.taxId,BT-32,BG-4,Seller tax registration identifier,0..1,fatturapa,json,BT-32,model BT-32; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /fiscalization/tax_id_number — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
fatturapa · seller.vatId missing from json,fatturapa|seller.vatId|json,seller.vatId,BT-31,BG-4,Seller VAT identifier,0..1,fatturapa,json,BT-31,model BT-31; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /fiscalization/vat_id_number — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
fatturapa · totals.rounding missing from json,fatturapa|totals.rounding|json,totals.rounding,BT-114,BG-22,Rounding amount,0..1,fatturapa,json,BT-114,model BT-114; json —; xml mapped,totals.vat is a three-value VAT summary; the EN 16931 document-level sums and adjustments are not carried,,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
fatturapa · typeCode missing from json,fatturapa|typeCode|json,typeCode,BT-3,BG-0,Invoice type code,1..1,fatturapa,json,BT-3,model BT-3; json —; xml mapped,BT-3 is derived by fiskaly; the operation only distinguishes INVOICE from CORRECTION,,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
fatturapa · vatBreakdown.{i}.esigibilita missing from json,fatturapa|vatBreakdown.{i}.esigibilita|json,vatBreakdown.{i}.esigibilita,,,,,fatturapa,json,vatBreakdown.{i}.esigibilita,model Esigibilita IVA (FatturaPA); json —; xml mapped,esigibilita (FatturaPA EsigibilitaIVA) has no counterpart in the VAT breakdown,,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
fatturapa · vatBreakdown.{i}.natura missing from json,fatturapa|vatBreakdown.{i}.natura|json,vatBreakdown.{i}.natura,,,,,fatturapa,json,vatBreakdown.{i}.natura,model Natura (FatturaPA); json —; xml mapped,rateCode/exemptionCode are many-to-one: the SystemVatRateCode and SystemVatExemptionCode enums cannot express Natura or a VATEX code,,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
fatturapa · vatBreakdown.{i}.rate missing from json,fatturapa|vatBreakdown.{i}.rate|json,vatBreakdown.{i}.rate,BT-119,BG-23,VAT category rate,1..1,fatturapa,json,/breakdown/{i}/percentage,model BT-119; json —; xml mapped,Only a VAT_RATE row has a percentage; an exemption or reverse-charge row carries none,"discarded: The VAT breakdown you send is thrown away — DatiRiepilogo is always recomputed server-side from the lines. The 2026-06-01 spec still requires it on an INVOICE operation, so it must be sent even though it is ignored; both statements are true at once.",,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
fatturapa · buyer.channel.email missing from xml,fatturapa|buyer.channel.email|xml,buyer.channel.email,,,,,fatturapa,xml,buyer.channel.email,model Recipient email address; json /recipients/{i}/invoicing/email; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · buyer.channel.format missing from xml,fatturapa|buyer.channel.format|xml,buyer.channel.format,,,,,fatturapa,xml,buyer.channel.format,model Email attachment format; json /recipients/{i}/invoicing/format; xml —,The format's mapping table carries no row for this field,,IT_EI: not_required,note,structural · fatturapa-map.ts · R3
fatturapa · buyer.channel.participantId missing from xml,fatturapa|buyer.channel.participantId|xml,buyer.channel.participantId,,,,,fatturapa,xml,buyer.channel.participantId,model Peppol participant identifier; json /recipients/{i}/invoicing/identifier; xml —,The format's mapping table carries no row for this field,,IT_EI: applicable,note,structural · fatturapa-map.ts · R3
fatturapa · buyer.contact.email missing from xml,fatturapa|buyer.contact.email|xml,buyer.contact.email,BT-58,BG-9,Buyer contact email address,0..1,fatturapa,xml,BT-58,model BT-58; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · buyer.contact.name missing from xml,fatturapa|buyer.contact.name|xml,buyer.contact.name,BT-56,BG-9,Buyer contact point,0..1,fatturapa,xml,BT-56,model BT-56; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · buyer.contact.phone missing from xml,fatturapa|buyer.contact.phone|xml,buyer.contact.phone,BT-57,BG-9,Buyer contact telephone number,0..1,fatturapa,xml,BT-57,model BT-57; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · buyer.electronicAddress.scheme missing from xml,fatturapa|buyer.electronicAddress.scheme|xml,buyer.electronicAddress.scheme,,,,,fatturapa,xml,buyer.electronicAddress.scheme,model Electronic address scheme; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · buyer.legalRegId missing from xml,fatturapa|buyer.legalRegId|xml,buyer.legalRegId,BT-47,BG-7,Buyer legal registration identifier,0..1,fatturapa,xml,BT-47,model BT-47; json /recipients/{i}/company_id; xml —,The format's mapping table carries no row for this field,not-rendered: We send the buyer's legal registration number here (BT-47); the schema accepts it and the tested capture shows no element for it. It stays in the payload because this evidence covers FatturaPA only — other syntaxes may render it.,IT_EI: applicable,note,structural · fatturapa-map.ts · R3
fatturapa · buyer.legalRegScheme missing from xml,fatturapa|buyer.legalRegScheme|xml,buyer.legalRegScheme,,,,,fatturapa,xml,buyer.legalRegScheme,model Legal registration scheme; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · buyer.person.gender missing from xml,fatturapa|buyer.person.gender|xml,buyer.person.gender,,,,,fatturapa,xml,buyer.person.gender,model Gender; json —; xml —,The format's mapping table carries no row for this field,mapped: The business recipient's name becomes the buyer's Denominazione.,,note,structural · fatturapa-map.ts · R3
fatturapa · buyer.tradeName missing from xml,fatturapa|buyer.tradeName|xml,buyer.tradeName,BT-45,BG-7,Buyer trading name,0..1,fatturapa,xml,BT-45,model BT-45; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · delivery.date missing from xml,fatturapa|delivery.date|xml,delivery.date,BT-72,BG-13,Actual delivery date,0..1,fatturapa,xml,BT-72,model BT-72; json —; xml —,The format's mapping table carries no row for this field,"not-rendered: Accepted by the schema, but no DatiTrasporto block appeared in the tested capture even though the request carried a full shipping address and date.",IT_EI: applicable,note,structural · fatturapa-map.ts · R3
fatturapa · lines.{i}.description missing from xml,fatturapa|lines.{i}.description|xml,lines.{i}.description,BT-154,BG-31,Item description,0..1,fatturapa,xml,BT-154,model BT-154; json /entries/{i}/details/description; xml —,The format's mapping table carries no row for this field,"discarded: We send the line description here (BT-127 invoice line note) and the FatturaPA generator throws it away — only `concept` survives from the details block. It stays in the payload because the schema accepts it and this evidence does not cover the UBL and CII paths, which may use it.",IT_EI: applicable,note,structural · fatturapa-map.ts · R3
fatturapa · lines.{i}.vat.reason missing from xml,fatturapa|lines.{i}.vat.reason|xml,lines.{i}.vat.reason,,,,,fatturapa,xml,lines.{i}.vat.reason,model Line VAT exemption reason text; json /entries/{i}/data/vat/reason; xml —,The format's mapping table carries no row for this field,,IT_EI: applicable,note,structural · fatturapa-map.ts · R3
fatturapa · lines.{i}.vat.vatexCode missing from xml,fatturapa|lines.{i}.vat.vatexCode|xml,lines.{i}.vat.vatexCode,,,,,fatturapa,xml,lines.{i}.vat.vatexCode,model Line VAT exemption reason code; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · payment.meansCode missing from xml,fatturapa|payment.meansCode|xml,payment.meansCode,BT-81,BG-16,Payment means type code,1..1,fatturapa,xml,BT-81,model BT-81; json /payments/{i}/type; xml —,The format's mapping table carries no row for this field,"platform: The request has no field for CondizioniPagamento; the platform derives a default (TP02, full payment, in the tested capture), so the model's payment.conditions cannot influence the XML.",,note,structural · fatturapa-map.ts · R4
fatturapa · payment.meansText missing from xml,fatturapa|payment.meansText|xml,payment.meansText,BT-82,BG-16,Payment means text,0..1,fatturapa,xml,BT-82,model BT-82; json /payments/{i}/name; xml —,The format's mapping table carries no row for this field,,IT_EI: applicable,note,structural · fatturapa-map.ts · R3
fatturapa · payment.remittanceInformation missing from xml,fatturapa|payment.remittanceInformation|xml,payment.remittanceInformation,BT-83,BG-16,Remittance information,0..1,fatturapa,xml,BT-83,model BT-83; json /payments/{i}/instruction/text; xml —,The format's mapping table carries no row for this field,,IT_EI: applicable,note,structural · fatturapa-map.ts · R3
fatturapa · payment.terms missing from xml,fatturapa|payment.terms|xml,payment.terms,BT-20,BG-0,Payment terms,0..1,fatturapa,xml,BT-20,model BT-20; json /document/payment_terms; xml —,The format's mapping table carries no row for this field,"not-rendered: The tested payload sent free-text payment terms and no element carried them; FatturaPA expresses terms as the coded CondizioniPagamento, which the platform derives itself.",IT_EI: applicable,note,structural · fatturapa-map.ts · R3
fatturapa · references.buyerReference missing from xml,fatturapa|references.buyerReference|xml,references.buyerReference,BT-10,BG-0,Buyer reference,0..1,fatturapa,xml,BT-10,model BT-10; json /document/references/buyer; xml —,The format's mapping table carries no row for this field,not-rendered: Accepted by the schema (BT-10 buyer reference) but produced no element in the tested capture.,IT_EI: applicable,note,structural · fatturapa-map.ts · R3
fatturapa · references.project missing from xml,fatturapa|references.project|xml,references.project,BT-11,BG-0,Project reference,0..1,fatturapa,xml,BT-11,model BT-11; json /document/references/project; xml —,The format's mapping table carries no row for this field,,IT_EI: applicable,note,structural · fatturapa-map.ts · R3
fatturapa · references.salesOrder missing from xml,fatturapa|references.salesOrder|xml,references.salesOrder,BT-14,BG-0,Sales order reference,0..1,fatturapa,xml,BT-14,model BT-14; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · seller.contact.name missing from xml,fatturapa|seller.contact.name|xml,seller.contact.name,BT-41,BG-6,Seller contact point,0..1,fatturapa,xml,BT-41,model BT-41; json /seller/name; xml —,The format's mapping table carries no row for this field,"not-rendered: Accepted by the schema (BT-41 seller contact point) but FatturaPA's Contatti block has no name element, so it produced no output in the tested capture.",IT_EI: applicable,note,structural · fatturapa-map.ts · R3
fatturapa · seller.electronicAddress.id missing from xml,fatturapa|seller.electronicAddress.id|xml,seller.electronicAddress.id,BT-34,BG-4,Seller electronic address,1..1,fatturapa,xml,BT-34,model BT-34; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · seller.electronicAddress.scheme missing from xml,fatturapa|seller.electronicAddress.scheme|xml,seller.electronicAddress.scheme,,,,,fatturapa,xml,seller.electronicAddress.scheme,model Electronic address scheme; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · seller.legalRegId missing from xml,fatturapa|seller.legalRegId|xml,seller.legalRegId,BT-30,BG-4,Seller legal registration identifier,0..1,fatturapa,xml,BT-30,model BT-30; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · seller.legalRegScheme missing from xml,fatturapa|seller.legalRegScheme|xml,seller.legalRegScheme,,,,,fatturapa,xml,seller.legalRegScheme,model Legal registration scheme; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · seller.person.gender missing from xml,fatturapa|seller.person.gender|xml,seller.person.gender,,,,,fatturapa,xml,seller.person.gender,model Gender; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · seller.tradeName missing from xml,fatturapa|seller.tradeName|xml,seller.tradeName,BT-28,BG-4,Seller trading name,0..1,fatturapa,xml,BT-28,model BT-28; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · totals.allowance missing from xml,fatturapa|totals.allowance|xml,totals.allowance,BT-107,BG-22,Sum of allowances on document level,0..1,fatturapa,xml,BT-107,model BT-107; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · totals.charge missing from xml,fatturapa|totals.charge|xml,totals.charge,BT-108,BG-22,Sum of charges on document level,0..1,fatturapa,xml,BT-108,model BT-108; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · totals.lineExtension missing from xml,fatturapa|totals.lineExtension|xml,totals.lineExtension,BT-106,BG-22,Sum of Invoice line net amount,1..1,fatturapa,xml,BT-106,model BT-106; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · totals.prepaid missing from xml,fatturapa|totals.prepaid|xml,totals.prepaid,BT-113,BG-22,Paid amount,0..1,fatturapa,xml,BT-113,model BT-113; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
fatturapa · totals.taxAmount missing from xml,fatturapa|totals.taxAmount|xml,totals.taxAmount,BT-110,BG-22,Invoice total VAT amount,0..1,fatturapa,xml,BT-110,model BT-110; json /totals/vat/amount; xml —,The format's mapping table carries no row for this field,"discarded: The totals you send are thrown away and recomputed server-side along with DatiRiepilogo. The 2026-06-01 spec still requires it on an INVOICE operation, so it must be sent even though it is ignored; both statements are true at once.",IT_EI: applicable,note,structural · fatturapa-map.ts · R3
fatturapa · totals.taxExclusive missing from xml,fatturapa|totals.taxExclusive|xml,totals.taxExclusive,BT-109,BG-22,Invoice total amount without VAT,1..1,fatturapa,xml,BT-109,model BT-109; json /totals/vat/exclusive; xml —,The format's mapping table carries no row for this field,"discarded: The totals you send are thrown away and recomputed server-side along with DatiRiepilogo. The 2026-06-01 spec still requires it on an INVOICE operation, so it must be sent even though it is ignored; both statements are true at once.",IT_EI: applicable,note,structural · fatturapa-map.ts · R3
fatturapa · vatBreakdown.{i}.vatexCode missing from xml,fatturapa|vatBreakdown.{i}.vatexCode|xml,vatBreakdown.{i}.vatexCode,BT-121,BG-23,VAT exemption reason code,0..1,fatturapa,xml,BT-121,model BT-121; json —; xml —,The format's mapping table carries no row for this field,,,note,structural · fatturapa-map.ts · R3
ubl · /entries/{i}/data/product/details/name missing from model,operation|/entries/{i}/data/product/details/name|model,,,,,,ubl,model,/entries/{i}/data/product/details/name,model —; json /entries/{i}/data/product/details/name; xml —,The operation accepts this pointer but no model field addresses it,,BE_EI: applicable; DE_EI: applicable,should-fix,spec · fiskaly.unified-api.all.2026-06-01.yaml · R2
ubl · /entries/{i}/data/product/type missing from model,operation|/entries/{i}/data/product/type|model,,,,,,ubl,model,/entries/{i}/data/product/type,model —; json /entries/{i}/data/product/type; xml —,The operation accepts this pointer but no model field addresses it,,BE_EI: applicable; DE_EI: applicable,should-fix,spec · fiskaly.unified-api.all.2026-06-01.yaml · R2
ubl · /payments/{i}/details/properties missing from model,operation|/payments/{i}/details/properties|model,,,,,,ubl,model,/payments/{i}/details/properties,model —; json /payments/{i}/details/properties; xml —,The operation accepts this pointer but no model field addresses it,,BE_EI: applicable; DE_EI: applicable,note,spec · fiskaly.unified-api.all.2026-06-01.yaml · R3
ubl · buyer.contact.email missing from json,ubl|buyer.contact.email|json,buyer.contact.email,BT-58,BG-9,Buyer contact email address,0..1,ubl,json,BT-58,model BT-58; json —; xml mapped,"BusinessRecipient has no trading name, no ISO 6523 scheme for company_id and no contact group",Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
ubl · buyer.contact.name missing from json,ubl|buyer.contact.name|json,buyer.contact.name,BT-56,BG-9,Buyer contact point,0..1,ubl,json,BT-56,model BT-56; json —; xml mapped,"BusinessRecipient has no trading name, no ISO 6523 scheme for company_id and no contact group",Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
ubl · buyer.contact.phone missing from json,ubl|buyer.contact.phone|json,buyer.contact.phone,BT-57,BG-9,Buyer contact telephone number,0..1,ubl,json,BT-57,model BT-57; json —; xml mapped,"BusinessRecipient has no trading name, no ISO 6523 scheme for company_id and no contact group",Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
ubl · buyer.legalRegScheme missing from json,ubl|buyer.legalRegScheme|json,buyer.legalRegScheme,,,,,ubl,json,buyer.legalRegScheme,model Legal registration scheme; json —; xml mapped,"BusinessRecipient has no trading name, no ISO 6523 scheme for company_id and no contact group",Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
ubl · buyer.tradeName missing from json,ubl|buyer.tradeName|json,buyer.tradeName,BT-45,BG-7,Buyer trading name,0..1,ubl,json,BT-45,model BT-45; json —; xml mapped,"BusinessRecipient has no trading name, no ISO 6523 scheme for company_id and no contact group",Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
ubl · delivery.date missing from json,ubl|delivery.date|json,delivery.date,BT-72,BG-13,Actual delivery date,0..1,ubl,json,/recipients/{i}/shipping/date,model BT-72; json —; xml mapped,"BT-72 only travels inside recipients[].shipping, which requires BG-15: without a delivery address there is nowhere to put it",Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,BE_EI: applicable,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
ubl · lines.{i}.id missing from json,ubl|lines.{i}.id|json,lines.{i}.id,BT-126,BG-25,Invoice line identifier,1..1,ubl,json,/entries/{i}/details/number,model BT-126; json —; xml mapped,details.number is optional; without it the entry's position becomes the line id,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
ubl · lines.{i}.vat.rate missing from json,ubl|lines.{i}.vat.rate|json,lines.{i}.vat.rate,BT-152,BG-30,Invoiced item VAT rate,0..1,ubl,json,/entries/{i}/data/vat/percentage,model BT-152; json —; xml mapped,Only a VAT_RATE row has a percentage; an exemption or reverse-charge row carries none,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
ubl · payment.accountName missing from json,ubl|payment.accountName|json,payment.accountName,BT-85,BG-17,Payment account name,0..1,ubl,json,/payments/{i}/instruction/name,model BT-85; json —; xml mapped,The bank details only travel inside a CREDIT_TRANSFER instruction,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,BE_EI: applicable,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
ubl · payment.bic missing from json,ubl|payment.bic|json,payment.bic,BT-86,BG-17,Payment service provider identifier,0..1,ubl,json,/payments/{i}/instruction/payment_service_provider,model BT-86; json —; xml mapped,The bank details only travel inside a CREDIT_TRANSFER instruction,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,BE_EI: applicable,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
ubl · payment.iban missing from json,ubl|payment.iban|json,payment.iban,BT-84,BG-17,Payment account identifier,1..1,ubl,json,/payments/{i}/instruction/account,model BT-84; json —; xml mapped,The bank details only travel inside a CREDIT_TRANSFER instruction,Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,BE_EI: applicable,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
ubl · references.invoicedObject missing from json,ubl|references.invoicedObject|json,references.invoicedObject,BT-18,BG-0,Invoiced object identifier,0..1,ubl,json,BT-18,model BT-18; json —; xml mapped,"document.references carries neither BT-14 nor BT-18, and despatch_advice is a bare number without BT-16's date",Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
ubl · references.salesOrder missing from json,ubl|references.salesOrder|json,references.salesOrder,BT-14,BG-0,Sales order reference,0..1,ubl,json,BT-14,model BT-14; json —; xml mapped,"document.references carries neither BT-14 nor BT-18, and despatch_advice is a bare number without BT-16's date",Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
ubl · seller.address.city missing from json,ubl|seller.address.city|json,seller.address.city,BT-37,BG-5,Seller city,0..1,ubl,json,BT-37,model BT-37; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/city — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
ubl · seller.address.country missing from json,ubl|seller.address.country|json,seller.address.country,BT-40,BG-5,Seller country code,1..1,ubl,json,BT-40,model BT-40; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/country — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
ubl · seller.address.number missing from json,ubl|seller.address.number|json,seller.address.number,BT-36,BG-5,Seller address line 2,0..1,ubl,json,BT-36,model BT-36; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/line — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
ubl · seller.address.postCode missing from json,ubl|seller.address.postCode|json,seller.address.postCode,BT-38,BG-5,Seller post code,0..1,ubl,json,BT-38,model BT-38; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/code — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
ubl · seller.address.region missing from json,ubl|seller.address.region|json,seller.address.region,BT-39,BG-5,Seller country subdivision,0..1,ubl,json,BT-39,model BT-39; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/region — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
ubl · seller.address.street missing from json,ubl|seller.address.street|json,seller.address.street,BT-35,BG-5,Seller address line 1,0..1,ubl,json,BT-35,model BT-35; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /address/line — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
ubl · seller.electronicAddress.id missing from json,ubl|seller.electronicAddress.id|json,seller.electronicAddress.id,BT-34,BG-4,Seller electronic address,1..1,ubl,json,BT-34,model BT-34; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from System::E_INVOICE_SERVICE annotations.peppol_id (Peppol registration) — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
ubl · seller.electronicAddress.scheme missing from json,ubl|seller.electronicAddress.scheme|json,seller.electronicAddress.scheme,,,,,ubl,json,seller.electronicAddress.scheme,model Electronic address scheme; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from System::E_INVOICE_SERVICE annotations.peppol_id (Peppol registration) — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
ubl · seller.legalRegId missing from json,ubl|seller.legalRegId|json,seller.legalRegId,BT-30,BG-4,Seller legal registration identifier,0..1,ubl,json,BT-30,model BT-30; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),Unobserved: no transmission capture exists for Peppol BIS Billing 3.0 (UBL 2.1); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
